"","SampleName","Reef","Site","Habitat","Pale","Group","Well","Temperature","T1_Fm","T2_PAR1","T2_PAR2","T2_PAR3","T2_PAR4","T2_PAR5","T2_PAR6","T2_PAR7","T2_PAR8","T2_PAR9","T2_PAR10","T2_PAR11","T2_PAR12","T2_PAR13","T2_PAR14","T2_PAR15","T2_ETR1","T2_ETR2","T2_ETR3","T2_ETR4","T2_ETR5","T2_ETR6","T2_ETR7","T2_ETR8","T2_ETR9","T2_ETR10","T2_ETR11","T2_ETR12","T2_ETR13","T2_ETR14","T2_ETR15","T2_QY_Lss1","T2_QY_Lss2","T2_QY_Lss3","T2_QY_Lss4","T2_QY_Lss5","T2_QY_Lss6","T2_QY_Lss7","T2_QY_Lss8","T2_QY_Lss9","T2_QY_Lss10","T2_QY_Lss11","T2_QY_Lss12","T2_QY_Lss13","T2_QY_Lss14","T2_QY_Lss15","T2_NPQ_Lss1","T2_NPQ_Lss2","T2_NPQ_Lss3","T2_NPQ_Lss4","T2_NPQ_Lss5","T2_NPQ_Lss6","T2_NPQ_Lss7","T2_NPQ_Lss8","T2_NPQ_Lss9","T2_NPQ_Lss10","T2_NPQ_Lss11","T2_NPQ_Lss12","T2_NPQ_Lss13","T2_NPQ_Lss14","T2_NPQ_Lss15","T3_Fv/Fm_Lss1","T3_Fm","T3_QY_max"
"1","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",1,24.5,8525.2,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.2325,40.3543,62.6792,80.8742,94.8973,105.5688,113.7982,119.057,120.8166,121.5531,120.998,118.6464,117.2493,112.0872,108.3418,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.33,0.29,0.27,0.24,0.21,0.19,0.17,0.15,0.01,0.03,0.05,0.08,0.12,0.21,0.31,0.44,0.59,0.74,0.91,1.08,1.24,1.4,1.57,0.6,6580.25,0.6
"2","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",2,29.5,9166.9,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.2095,40.0622,62.0912,80.0904,92.9269,102.0842,108.0904,111.5076,111.6076,113.5375,108.1087,105.7024,104.9583,98.7155,95.787,0.6,0.56,0.52,0.48,0.43,0.39,0.35,0.31,0.27,0.25,0.21,0.19,0.17,0.15,0.14,0.01,0.04,0.05,0.08,0.15,0.26,0.4,0.57,0.75,0.92,1.11,1.28,1.44,1.59,1.72,0.6,7031.14,0.61
"3","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",3,31.5,8193.58,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.6576,37.5007,58.1621,75.2394,87.971,97.47,103.5938,107.9594,109.9104,108.7033,104.5153,101.0273,99.5715,98.6736,91.6744,0.58,0.52,0.48,0.45,0.41,0.37,0.33,0.3,0.27,0.24,0.21,0.18,0.17,0.15,0.13,0.01,0.05,0.09,0.13,0.23,0.36,0.53,0.69,0.88,1.06,1.25,1.43,1.58,1.71,1.87,0.58,6303.09,0.59
"4","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",4,34.5,8610.46,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,12.702,33.2912,52.1098,69.5518,83.6367,93.9078,100.2282,103.9709,104.4825,104.5415,102.0469,100.519,98.8387,92.3494,85.7912,0.54,0.46,0.43,0.41,0.39,0.35,0.32,0.29,0.26,0.23,0.2,0.18,0.16,0.14,0.12,0.01,0.06,0.09,0.12,0.18,0.27,0.42,0.58,0.77,0.95,1.14,1.3,1.46,1.62,1.76,0.52,5709.78,0.53
"5","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",5,35.75,10156.5,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,10.6774,23.8762,34.1376,41.1855,44.748,45.2278,45.1748,42.8137,43.7823,41.1475,40.681,34.1322,38.5869,32.3916,27.5673,0.45,0.33,0.28,0.24,0.21,0.17,0.14,0.12,0.11,0.09,0.08,0.06,0.06,0.05,0.04,0.05,0.16,0.29,0.46,0.68,0.91,1.13,1.33,1.48,1.61,1.72,1.81,1.84,1.86,1.83,0.38,6540.38,0.38
"6","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",6,37,8318.8,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,6.9088,8.5752,7.7176,6.6136,6.6251,4.302,3.0837,2.1603,1.3154,-1.2085,0.1045,-1.2354,3.2755,-0.1707,1.4444,0.29,0.12,0.06,0.04,0.03,0.02,0.01,0.01,0,0,0,0,0.01,0,0,-0.03,-0.02,-0.01,0,0.02,0.06,0.1,0.14,0.19,0.26,0.31,0.38,0.44,0.52,0.59,0.15,4760,0.15
"7","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",1,24.5,8216.83,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.9503,41.6354,61.0238,73.7889,83.3915,90.3931,95.5547,98.6725,100.9583,101.1766,98.168,99.797,97.9196,97.2245,95.8899,0.63,0.58,0.51,0.44,0.38,0.34,0.31,0.27,0.25,0.22,0.19,0.18,0.16,0.15,0.14,0.02,0.05,0.07,0.12,0.17,0.24,0.3,0.37,0.44,0.52,0.61,0.69,0.8,0.9,1.01,0.61,6125.09,0.62
"8","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",2,29.5,6822.93,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.5133,39.6045,58.8361,73.1612,82.4928,89.7368,95.7197,97.1733,97.5214,96.4812,97.292,97.195,97.9028,95.9258,87.6361,0.61,0.55,0.49,0.43,0.38,0.34,0.31,0.27,0.24,0.21,0.19,0.18,0.16,0.15,0.13,0.03,0.07,0.1,0.13,0.18,0.23,0.27,0.33,0.4,0.47,0.54,0.61,0.7,0.79,0.89,0.6,4918.88,0.61
"9","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",3,31.5,7323.26,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.4823,39.6877,58.864,73.1141,83.2715,91.7536,97.2624,101.6537,103.8857,105.3106,104.4145,101.2468,102.2654,99.8823,91.7649,0.61,0.55,0.49,0.43,0.38,0.35,0.31,0.28,0.25,0.23,0.21,0.18,0.17,0.15,0.13,0.03,0.08,0.12,0.18,0.28,0.39,0.5,0.6,0.7,0.81,0.93,1.05,1.16,1.29,1.43,0.57,4562.35,0.58
"10","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",4,34.5,7440.25,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.8876,37.3432,56.5199,72.8316,85.2554,94.2739,101.593,105.4405,105.8007,106.5354,102.5869,97.7542,94.1128,89.808,86.0314,0.59,0.52,0.47,0.43,0.39,0.36,0.32,0.29,0.26,0.23,0.2,0.18,0.16,0.14,0.12,0.05,0.14,0.23,0.33,0.46,0.62,0.79,0.97,1.15,1.31,1.47,1.62,1.76,1.87,1.95,0.5,4503.92,0.51
"11","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",5,35.75,7094.6,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,11.0195,24.2539,30.8148,34.0113,35.5487,33.9269,31.4985,28.8992,24.4476,22.6913,16.0346,14.6723,17.1871,7.9418,12.0804,0.47,0.34,0.26,0.2,0.16,0.13,0.1,0.08,0.06,0.05,0.03,0.03,0.03,0.01,0.02,0.14,0.43,0.66,0.82,0.92,0.98,0.99,0.99,0.97,0.95,0.93,0.91,0.89,0.9,0.89,0.31,3882.73,0.31
"12","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",6,37,7688.18,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,9.2564,12.1182,10.9655,9.5547,7.8067,5.7223,4.7526,3.4584,4.9682,2.8012,-0.8396,4.1891,0.7713,-0.3545,-2.1827,0.39,0.17,0.09,0.06,0.04,0.02,0.02,0.01,0.01,0.01,0,0.01,0,0,0,-0.02,-0.01,0.01,0.04,0.09,0.15,0.22,0.29,0.37,0.46,0.56,0.65,0.75,0.84,0.93,0.1,3749.05,0.1
"13","LB 3","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",1,24.5,8227.33,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.7507,41.5329,64.1027,82.6341,97.7207,109.1515,118.8156,126.5793,132.6164,135.6331,137.128,138.3763,136.7773,132.0164,130.2528,0.62,0.58,0.53,0.49,0.45,0.41,0.38,0.35,0.32,0.3,0.27,0.25,0.23,0.2,0.19,0.02,0.07,0.09,0.12,0.16,0.23,0.3,0.38,0.46,0.56,0.65,0.74,0.85,0.96,1.06,0.6,5948.34,0.61
"14","LB 3","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",2,29.5,8654.45,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.2845,39.3147,59.8933,76.7915,90.0826,100.826,109.0861,114.0196,118.6185,120.2683,120.6537,120.9168,118.1652,117.8041,113.1949,0.6,0.55,0.5,0.46,0.42,0.38,0.35,0.32,0.29,0.26,0.24,0.22,0.2,0.18,0.16,0.03,0.09,0.13,0.18,0.26,0.35,0.45,0.56,0.67,0.78,0.89,1,1.11,1.21,1.31,0.57,5972.45,0.58
"15","LB 3","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",3,31.5,9172.05,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.4386,40.5029,62.2393,79.8272,94.126,104.7591,113.3511,119.6275,124.8618,125.299,124.9115,124.0841,123.2442,120.1811,113.3708,0.61,0.56,0.52,0.47,0.43,0.4,0.36,0.33,0.3,0.27,0.25,0.22,0.2,0.18,0.16,0.02,0.07,0.11,0.17,0.26,0.37,0.46,0.58,0.69,0.82,0.95,1.07,1.2,1.33,1.46,0.57,6165.07,0.58
"16","LB 3","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",4,34.5,10160.81,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.9014,38.4698,60.1721,79.4222,95.6341,107.7269,116.6329,120.8929,123.9883,120.4359,120.6041,114.1558,109.8643,107.6143,100.0386,0.59,0.54,0.5,0.47,0.44,0.41,0.37,0.33,0.3,0.26,0.24,0.21,0.18,0.17,0.14,0.05,0.12,0.17,0.23,0.32,0.44,0.59,0.76,0.95,1.14,1.32,1.49,1.64,1.75,1.87,0.5,6639.76,0.52
"17","LB 3","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",5,35.75,10834.55,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,10.6892,22.0499,27.5576,30.1085,30.9421,30.5817,28.1821,25.497,23.3706,19.325,16.7366,14.8946,9.4519,8.1266,6.1784,0.45,0.31,0.23,0.18,0.14,0.12,0.09,0.07,0.06,0.04,0.03,0.03,0.02,0.01,0.01,0.11,0.37,0.58,0.73,0.8,0.84,0.86,0.88,0.87,0.87,0.87,0.85,0.86,0.86,0.88,0.32,6064.09,0.32
"18","LB 3","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",6,37,8963.77,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,8.3545,10.5881,9.6958,7.2981,6.6483,3.8777,3.5652,4.5848,2.4054,3.1798,1.8211,0.9816,-4.4982,0.4606,-1.2312,0.35,0.15,0.08,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0,0,-0.01,0,0,-0.02,-0.02,0,0.04,0.07,0.13,0.2,0.27,0.35,0.44,0.54,0.62,0.73,0.82,0.91,0.09,4455.05,0.09
"19","LB 4","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",1,24.5,8218.42,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.1505,37.7419,54.1118,65.5348,74.4015,78.6497,81.9569,85.5437,87.263,88.1569,88.5878,88.538,87.0064,84.0204,84.5595,0.6,0.52,0.45,0.39,0.34,0.3,0.26,0.24,0.21,0.19,0.18,0.16,0.14,0.13,0.12,0,0.02,0.02,0.04,0.06,0.11,0.19,0.27,0.37,0.48,0.59,0.71,0.84,0.97,1.09,0.62,6718.87,0.62
"20","LB 4","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",2,29.5,8311.63,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,12.9612,34.3771,52.1987,67.4021,79.6072,88.6538,94.8475,100.193,103.6716,105.7398,107.4229,106.8738,103.5813,104.6512,96.6675,0.55,0.48,0.43,0.4,0.37,0.33,0.3,0.28,0.25,0.23,0.21,0.19,0.17,0.16,0.14,0,0.03,0.05,0.08,0.13,0.24,0.37,0.53,0.71,0.89,1.07,1.25,1.44,1.6,1.78,0.58,6779.06,0.58
"21","LB 4","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",3,31.5,8669.96,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.65,37.8722,59.5318,78.6011,93.6202,104.6843,111.7924,115.6629,117.8587,117.8509,115.2367,113.608,111.6422,106.4314,99.9203,0.58,0.53,0.5,0.47,0.43,0.4,0.36,0.32,0.29,0.26,0.23,0.2,0.19,0.16,0.14,0.01,0.04,0.05,0.07,0.12,0.22,0.37,0.55,0.74,0.93,1.14,1.34,1.52,1.71,1.88,0.6,7147.03,0.6
"22","LB 4","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",4,34.5,7818.23,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,12.3744,32.6323,51.603,68.4213,82.2353,93.0384,100.0199,104.6712,105.8139,107.4717,105.4082,102.4961,97.584,93.5286,87.261,0.52,0.45,0.43,0.41,0.38,0.35,0.32,0.29,0.26,0.23,0.21,0.18,0.16,0.14,0.12,0.01,0.05,0.07,0.1,0.16,0.26,0.39,0.55,0.74,0.91,1.1,1.27,1.43,1.6,1.74,0.49,4962.51,0.5
"23","LB 4","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",5,35.75,8559.94,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,9.8651,20.9709,28.4687,33.1706,34.9411,35.3561,33.1971,32.5414,30.4806,26.0991,25.1429,20.782,17.2367,12.5444,11.382,0.42,0.29,0.24,0.2,0.16,0.13,0.11,0.09,0.07,0.06,0.05,0.04,0.03,0.02,0.02,0.05,0.16,0.29,0.45,0.63,0.81,0.99,1.14,1.26,1.35,1.41,1.43,1.44,1.42,1.38,0.36,5590.78,0.36
"24","LB 4","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",6,37,6666.52,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,5.7019,6.4956,5.9154,4.8685,4.8883,3.6157,4.1473,3.049,1.5321,1.6568,2.8556,1.9846,2.1983,1.1665,2.9671,0.24,0.09,0.05,0.03,0.02,0.01,0.01,0.01,0,0,0.01,0,0,0,0,-0.02,-0.02,0,0.02,0.04,0.08,0.12,0.16,0.22,0.27,0.33,0.39,0.39,0.47,0.53,0.13,4210.08,0.13
"25","LB 5","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",1,24.5,9325.51,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.5819,38.4901,55.6835,75.2743,92.3247,106.796,124.0932,121.2414,147.2162,151.6336,155.0258,155.3995,158.5153,154.9244,142.7218,0.57,0.54,0.46,0.45,0.43,0.4,0.4,0.34,0.36,0.33,0.31,0.28,0.26,0.24,0.2,0.01,0.02,0.05,0.04,0.04,0.05,0.07,0.11,0.17,0.24,0.33,0.44,0.53,0.64,0.75,0.58,11461.72,0.58
"26","LB 5","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",2,29.5,8895.25,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.391,37.3977,55.3784,74.6615,89.5756,105.7547,117.7121,111.1311,136.8791,138.7266,145.6298,155.0957,147.1786,150.1812,150.4417,0.57,0.52,0.46,0.44,0.41,0.4,0.38,0.31,0.33,0.3,0.29,0.28,0.24,0.23,0.22,0.02,0.05,0.07,0.07,0.1,0.13,0.17,0.21,0.29,0.36,0.43,0.48,0.58,0.66,0.75,0.58,11638.05,0.59
"27","LB 5","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",3,31.5,7868.82,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.1906,37.0725,56.2811,76.7995,92.9948,109.0287,123.2556,129.6485,140.9911,146.4734,151.2347,154.4437,150.4517,151.7788,142.3426,0.56,0.52,0.47,0.46,0.43,0.41,0.39,0.36,0.34,0.32,0.3,0.28,0.25,0.23,0.2,0.02,0.04,0.09,0.08,0.12,0.14,0.19,0.28,0.34,0.41,0.49,0.59,0.67,0.81,0.92,0.56,9748.47,0.57
"28","LB 5","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",4,34.5,9930.47,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.347,36.4443,54.1118,73.3367,87.6112,99.9847,106.9138,105.8602,119.178,116.7541,114.666,118.6191,114.0459,113.1051,121.869,0.56,0.51,0.45,0.44,0.4,0.38,0.34,0.29,0.29,0.26,0.23,0.21,0.19,0.17,0.17,0.03,0.06,0.12,0.15,0.23,0.32,0.43,0.57,0.65,0.77,0.91,1.03,1.13,1.26,1.29,0.46,10266.16,0.48
"29","LB 5","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",5,35.75,7069.78,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,10.5462,23.192,29.361,34.6093,39.0102,37.5874,37.8959,36.9188,38.9737,28.859,34.3187,32.9651,31.512,26.2904,30.024,0.45,0.32,0.24,0.21,0.18,0.14,0.12,0.1,0.1,0.06,0.07,0.06,0.05,0.04,0.04,0.03,0.22,0.4,0.53,0.63,0.74,0.81,0.87,0.87,0.92,0.93,0.92,0.91,0.87,0.84,0.34,7259.18,0.34
"30","LB 5","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",6,37,6943.11,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,11.0267,25.4437,32.8091,34.7977,37.4715,39.4762,37.4856,43.2379,27.3151,30.9131,24.7589,18.9657,22.5778,22.4636,10.655,0.47,0.35,0.27,0.21,0.17,0.15,0.12,0.12,0.07,0.07,0.05,0.03,0.04,0.03,0.02,0.01,0.15,0.29,0.4,0.46,0.51,0.54,0.57,0.57,0.54,0.52,0.49,0.45,0.42,0.43,0.29,6185.95,0.29
"31","LB 6","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",1,24.5,5577.17,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.3208,36.474,54.4901,72.5217,88.6224,103.9811,119.1164,121.8893,137.9906,142.0603,147.3552,149.9036,151.6835,146.3181,138.513,0.56,0.51,0.45,0.43,0.41,0.39,0.38,0.34,0.34,0.31,0.29,0.27,0.25,0.22,0.2,0.01,0.02,0.04,0.05,0.06,0.07,0.1,0.17,0.22,0.3,0.38,0.48,0.58,0.7,0.81,0.6,7780.91,0.6
"32","LB 6","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",2,29.5,8606.05,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.6321,36.5369,53.1276,69.9308,84.7252,97.5048,110.9123,106.3287,127.3178,129.8373,136.2646,131.4662,132.0696,127.153,127.8966,0.58,0.51,0.44,0.42,0.39,0.37,0.35,0.29,0.31,0.28,0.27,0.24,0.22,0.2,0.18,0,0.02,0.07,0.07,0.09,0.13,0.17,0.24,0.31,0.4,0.48,0.6,0.68,0.8,0.89,0.61,11590.73,0.61
"33","LB 6","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",3,31.5,8632.26,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.5448,36.1166,53.106,71.4448,87.1773,99.6865,107.7597,107.7843,125.4291,124.1086,130.3926,127.1336,122.6587,126.9833,110.4976,0.57,0.5,0.44,0.42,0.4,0.38,0.34,0.3,0.31,0.27,0.26,0.23,0.2,0.2,0.16,0.01,0.03,0.08,0.08,0.11,0.17,0.25,0.31,0.41,0.52,0.61,0.71,0.83,0.9,1.01,0.59,10734.11,0.59
"34","LB 6","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",4,34.5,8632.58,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,12.4818,30.5258,44.5644,61.5112,73.2193,86.0039,96.939,94.8407,107.9331,108.2988,109.3649,111.7383,105.694,96.3928,92.5348,0.53,0.42,0.37,0.37,0.34,0.32,0.31,0.26,0.26,0.24,0.22,0.2,0.18,0.15,0.13,0.01,0.03,0.07,0.08,0.13,0.18,0.24,0.36,0.42,0.52,0.62,0.72,0.81,0.91,1,0.48,9263.88,0.49
"35","LB 6","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",5,35.75,7220.43,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,9.9676,19.5514,26.1126,31.5159,34.2196,35.2919,34.7737,29.3108,37.3096,36.3495,37.4989,31.21,26.1958,19.3461,24.0241,0.42,0.27,0.22,0.19,0.16,0.13,0.11,0.08,0.09,0.08,0.07,0.06,0.04,0.03,0.03,0.01,0.06,0.12,0.2,0.29,0.37,0.45,0.5,0.57,0.59,0.6,0.62,0.61,0.6,0.58,0.38,8103.49,0.38
"36","LB 6","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",6,37,8385.67,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,6.7149,6.7812,3.1564,2.5715,2.2453,0.655,-1.7776,2.1138,2.5138,2.1205,2.831,7.9721,2.2635,6.6841,3.051,0.28,0.09,0.03,0.02,0.01,0,-0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,-0.01,0.01,0.02,0.01,0.01,0.02,0.04,0.07,0.08,0.12,0.16,0.19,0.24,0.29,0.35,0.16,7117.61,0.16
"37","LB 7","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",1,24.5,7824.69,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.8674,37.2682,53.605,70.6915,86.3104,96.9153,105.4813,108.956,121.1627,120.9708,128.7059,124.0094,128.8429,131.5983,116.5986,0.59,0.52,0.45,0.42,0.4,0.37,0.34,0.3,0.3,0.26,0.25,0.22,0.21,0.2,0.17,0.01,0.03,0.06,0.06,0.09,0.14,0.23,0.32,0.39,0.49,0.57,0.68,0.73,0.82,0.92,0.58,9144.46,0.59
"38","LB 7","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",2,29.5,7948.01,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.3797,35.7269,52.5423,67.9396,82.7071,92.7074,103.607,103.9362,120.3444,124.8148,125.9449,130.9478,129.5603,132.9774,127.9936,0.57,0.5,0.44,0.4,0.38,0.35,0.33,0.29,0.29,0.27,0.25,0.24,0.22,0.2,0.18,0,0.02,0.04,0.06,0.11,0.18,0.26,0.34,0.44,0.52,0.63,0.69,0.78,0.85,0.92,0.56,8846.44,0.58
"39","LB 7","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",3,31.5,11010.36,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.5284,36.5816,53.5984,71.5203,84.9834,95.7015,106.2518,98.8256,121.5123,122.4939,126.514,127.8785,120.0942,129.5384,123.5598,0.57,0.51,0.45,0.42,0.39,0.36,0.34,0.27,0.3,0.27,0.25,0.23,0.2,0.2,0.18,0.01,0.05,0.1,0.12,0.18,0.27,0.36,0.44,0.56,0.67,0.76,0.86,0.96,1.04,1.13,0.54,11947.79,0.56
"40","LB 7","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",4,34.5,7205.22,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,12.6435,32.6039,47.0324,59.478,66.7737,75.4838,80.4481,77.3465,87.2477,82.4835,79.4705,76.4236,83.0626,78.8997,81.1716,0.53,0.45,0.39,0.35,0.31,0.28,0.26,0.21,0.21,0.18,0.16,0.14,0.14,0.12,0.12,0.01,0.06,0.14,0.23,0.35,0.46,0.6,0.71,0.82,0.96,1.07,1.18,1.24,1.32,1.39,0.42,7384.21,0.43
