"","SampleName","Reef","Site","Habitat","Pale","Group","Well","Temperature","T1_Fm","T2_PAR1","T2_PAR2","T2_PAR3","T2_PAR4","T2_PAR5","T2_PAR6","T2_PAR7","T2_PAR8","T2_PAR9","T2_PAR10","T2_PAR11","T2_PAR12","T2_PAR13","T2_PAR14","T2_PAR15","T2_ETR1","T2_ETR2","T2_ETR3","T2_ETR4","T2_ETR5","T2_ETR6","T2_ETR7","T2_ETR8","T2_ETR9","T2_ETR10","T2_ETR11","T2_ETR12","T2_ETR13","T2_ETR14","T2_ETR15","T2_QY_Lss1","T2_QY_Lss2","T2_QY_Lss3","T2_QY_Lss4","T2_QY_Lss5","T2_QY_Lss6","T2_QY_Lss7","T2_QY_Lss8","T2_QY_Lss9","T2_QY_Lss10","T2_QY_Lss11","T2_QY_Lss12","T2_QY_Lss13","T2_QY_Lss14","T2_QY_Lss15","T2_NPQ_Lss1","T2_NPQ_Lss2","T2_NPQ_Lss3","T2_NPQ_Lss4","T2_NPQ_Lss5","T2_NPQ_Lss6","T2_NPQ_Lss7","T2_NPQ_Lss8","T2_NPQ_Lss9","T2_NPQ_Lss10","T2_NPQ_Lss11","T2_NPQ_Lss12","T2_NPQ_Lss13","T2_NPQ_Lss14","T2_NPQ_Lss15","T3_Fv/Fm_Lss1","T3_Fm","T3_QY_max"
"857","RB S14","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",5,35.75,6339.02,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.3728,31.2675,43.5999,52.4894,57.9837,59.5502,62.7975,63.3502,66.9716,73.2792,59.1873,55.5409,63.7047,62.9688,65.2344,0.57,0.43,0.36,0.31,0.27,0.22,0.2,0.18,0.16,0.16,0.12,0.1,0.11,0.1,0.09,0.1,0.37,0.65,0.91,1.14,1.33,1.5,1.59,1.68,1.71,1.8,1.81,1.73,1.67,1.63,0.46,3853.86,0.46
"858","RB S14","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",6,37,5670.54,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,10.7063,15.8778,14.9629,12.3175,9.2019,4.068,4.9554,-0.9336,9.2687,5.6081,-2.5546,2.6794,9.5179,-0.3581,21.16,0.45,0.22,0.12,0.07,0.04,0.02,0.02,0,0.02,0.01,-0.01,0,0.02,0,0.03,0.01,0.05,0.06,0.08,0.1,0.16,0.22,0.29,0.32,0.43,0.54,0.63,0.68,0.81,0.87,0.18,2513.27,0.18
"859","RB S15","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",1,24.5,6932.74,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,15.3532,43.2035,65.743,83.4901,96.2037,104.4326,109.9672,113.0143,116.5577,117.3708,119.5357,107.9493,110.8266,104.8221,110.6147,0.65,0.6,0.55,0.5,0.44,0.39,0.35,0.31,0.28,0.26,0.24,0.19,0.18,0.16,0.16,0.02,0.06,0.09,0.17,0.3,0.5,0.72,0.94,1.13,1.33,1.49,1.68,1.78,1.94,1.99,0.58,4656.26,0.59
"860","RB S15","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",2,29.5,8357.49,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,15.2994,42.0833,62.7637,79.2202,89.8536,98.7303,104.1242,104.9662,108.059,104.05,97.411,95.1364,102.3941,93.0249,89.1174,0.65,0.59,0.52,0.47,0.41,0.37,0.33,0.29,0.26,0.23,0.19,0.17,0.17,0.14,0.13,0.02,0.08,0.13,0.23,0.39,0.57,0.75,0.97,1.15,1.36,1.56,1.74,1.81,1.94,2.05,0.56,5356.13,0.58
"861","RB S15","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",3,31.5,8012.25,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,15.0571,41.7907,63.2627,79.5313,91.4007,100.1399,107.9941,108.6639,112.7595,113.4256,111.9843,105.2627,106.7865,101.7401,105.0306,0.64,0.58,0.53,0.47,0.42,0.38,0.34,0.3,0.28,0.25,0.22,0.19,0.18,0.16,0.15,0.05,0.09,0.16,0.29,0.49,0.7,0.92,1.12,1.31,1.49,1.65,1.82,1.92,2.04,2.11,0.55,5039.67,0.57
"862","RB S15","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",4,34.5,7785.55,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.6232,39.761,59.428,74.6191,84.2863,89.0577,93.2948,94.5203,92.4276,91.1958,91.2305,84.2625,83.677,80.0091,77.8221,0.62,0.55,0.49,0.44,0.39,0.34,0.3,0.26,0.23,0.2,0.18,0.15,0.14,0.12,0.11,0.06,0.15,0.29,0.49,0.73,1,1.24,1.45,1.68,1.86,1.99,2.12,2.18,2.23,2.3,0.46,4229.48,0.47
"863","RB S15","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",5,35.75,7571.2,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,12.4362,26.0192,34.4778,37.9287,39.9161,40.5165,40.718,32.274,26.8783,27.3296,10.3249,0.1511,10.6261,5.2982,11.7033,0.53,0.36,0.29,0.23,0.18,0.15,0.13,0.09,0.07,0.06,0.02,0,0.02,0.01,0.02,0.14,0.51,0.82,1.04,1.15,1.2,1.23,1.23,1.19,1.1,1.08,1.06,1.02,1.04,1.07,0.33,3753.08,0.33
"864","RB S15","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",6,37,6098.34,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,9.4256,8.8996,7.0911,6.7437,1.3594,2.743,2.7988,-4.3044,1.0016,2.6549,-7.1594,-7.4054,10.6234,3.1425,3.0339,0.4,0.12,0.06,0.04,0.01,0.01,0.01,-0.01,0,0.01,-0.01,-0.01,0.02,0,0,-0.01,0.01,0.04,0.07,0.13,0.18,0.27,0.37,0.45,0.56,0.7,0.82,0.9,1.05,1.18,0.1,2739,0.1
"865","RB S16","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",1,24.5,7243.09,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,15.7516,43.5762,65.3467,81.0958,92.0067,98.0066,103.6308,102.9592,104.7666,107.4889,104.0267,100.4322,106.3079,98.7604,99.6535,0.67,0.61,0.54,0.48,0.42,0.37,0.33,0.28,0.26,0.23,0.21,0.18,0.18,0.15,0.14,0.02,0.06,0.08,0.14,0.24,0.39,0.57,0.76,0.95,1.14,1.31,1.49,1.6,1.76,1.86,0.59,4850.93,0.6
"866","RB S16","Opal Reef","Rayban","Reef slope",FALSE,"Opal Rayban slope",2,29.5,7232.46,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,15.3713,42.6158,64.6838,81.8203,96.1115,105.0642,115.5902,116.6777,121.4325,120.5078,119.3656,121.9119,119.0846,109.2393,113.5368,0.65,0.59,0.54,0.49,0.44,0.4,0.37,0.32,0.3,0.26,0.24,0.22,0.2,0.17,0.16,0.04,0.09,0.13,0.21,0.36,0.54,0.73,0.96,1.16,1.39,1.56,1.73,1.85,2.01,2.12,0.59,4905.32,0.6
